Handle,Titre,Vendeur,Prix_vente,Prix_barre,Economie,Remise_pct,Description,Image,Marque,Type,Categorie
generateur-a-essence-dometic-tec-29,Générateur à essence Dometic TEC 29,Dometic,5089.0,6499.0,1410.0,22.0,"Générateur à essence Dometic TEC 29 Généralités Numéro SKU 9102900299 Modèle TEC29 Pièces fournies Generator, control panel + 5mt cable, external silencer + 2mt flexible exhaust pipe, brackets, change over switch, clamps, washers, muffler curve, fuel filter, cut out template, user and installation manuals Description du produit Générateur à essence, 2,6 kW, 230 V Dimensions Dimensions profondeur du produit 385 mm Dimensions hauteur du produit 290 mm Dimensions largeur du produit 480 mm Poids net 44 kg Puissance Tension d'entrée (DC) 12 V Tension de sortie [V] 230 V Courant de sortie [A] 11.30 ",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/GenerateuraessenceDometicTEC29.png?v=1772119050,Dometic,Énergie mobile,Non classé
centre-de-cuisson-piano-opera-gaz-100cm-inox-smeg-a2-8,Centre de cuisson Piano Opéra Gaz 100cm Inox SMEG A2-8,SMEG,3064.0,4395.0,1331.0,30.0,"Centre de cuisson Piano Opéra Gaz 100cm Inox SMEG A2-8 Informations générales de la cuisinière : Cuisinière mixte ""piano"" (largeur = 70 cm) Pose / Installation :Libre Informations sur la table de cuisson de la cuisinière : Energie :Gaz Informations sur les foyers de la cuisinière : 6 foyers gaz Détails sur les foyers : Foyer n°1 ""Semi-rapide"" : • Type : gaz • Position : à l'avant à gauche • Puissance : 1800 Watts • Format : rond Foyer n°2 ""Ultra-rapide"" : • Type : gaz • Position : à l'arrière à gauche • Puissance : 4200 Watts • Format : rond Foyer n°3 ""Auxiliaire"" : • Type : gaz • Position : à",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/CentredecuissonPianoOperaGaz100cmInoxSMEGA2-8.png?v=1772645282,SMEG,Centre de cuisson,Non classé
bar-exterieur-mobile-dometic-mobar-550-s,"Bar extérieur mobile, Dometic MoBar 550 S",Dometic,6186.0,7413.0,1227.0,17.0,"Fiche technique : Dimension : H 980 x L 1249 x P 624 mm Puissance : 220-240 V, 80 ± 10 W Poids net : 113 kg Coloris : acier et noir Capacité du cellier : 39 bouteilles de Bordeaux, 75 cl",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Barexterieurmobile_DometicMoBar550S.png?v=1770996823,Dometic,Accessoire,Non classé
table-refrigeree-negative-gn-1-1-3-portes-avec-dosseret-trg3n,TABLE REFRIGERÉE NÉGATIVE GN 1/1 - 3 PORTES - AVEC DOSSERET TRG3N,NESRI DISCOUNT,3610.0,4814.0,1204.0,25.0,TABLE REFRIGERÉE NÉGATIVE GN 1/1 - 3 PORTES - AVEC DOSSERET TRG3N CARROSSERIE INTÉRIEURE ET EXTÉRIEURE (SAUF DESSOUS EXTÉRIEUR) EN ACIER INOXYDABLE GROUPE LOGÉ TROPICALISÉ ÉVAPORATEUR TRAITÉ ANTI-CORROSION DE SÉRIE GRILLE DE PROTECTION DU MOTEUR AVEC SERRURE À CLÉS POUR OPTIMISER LES OPÉRATIONS DE NETTOYAGE MANUTENTION. Compartiment moteur avec fermeture à clé Angles intérieurs arrondis Panneau de commande électronique frontal Pieds en acier inoxydable réglables en hauteur Fiche technique : Carrosserie intérieure et extérieure (sauf dessous extérieur) en Acier Inoxydable Isolation par mousse d,https://cdn.shopify.com/s/files/1/0982/1428/1557/files/TABLEREFRIGEREENEGATIVEGN11-3PORTES-AVECDOSSERETTRG3N.png?v=1767976349,,Cuisson professionnelle,Non classé
generateur-a-essence-2-kw-230-v-dometic-t-2500h,"Générateur à essence, 2 kW, 230 V Dometic T 2500H",Dometic,4269.0,5447.0,1178.0,22.0,"Fiche technique Tension de sortie [V] 230 V Courant de sortie [A] 8.70 A Type de carburant Essence normale RON 91 Puissance continue 25°C 2000.00 W Température de fonctionnement min -15.00 °C Température de fonctionnement max 50.00 °C Pièces fournies : Generator, control panel + 5m cable, 2m flexible exhaust pipe, brackets, clamps, washers, fuel filter, cut out template, user and installation manuals Dimensions : L 530 x P 385 x H 290 mm Poids : 50 kg Dimensions du colis : L 400 x P 775 x H 340 mm Poids du colis : 62 kg Manuel d'installation et d'utilisation",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_6_0c6a1be1-4827-4cfc-a0d1-d3e0249ad3e5.png?v=1771087905,Dometic,Énergie mobile,Non classé
conteneur-de-refrigeration-393-litres-dometic-fo450nc,"Conteneur de réfrigération à ouverture par le devant, 404 L Dometic FO 450NC",Dometic,5185.0,6222.0,1037.0,17.0,"Fiche technique Capacité de 404 l de stockage pour les aliments réfrigérés Une température fixe préréglée en usine : +4 °C Chargement par l’avant, le dessus peut être utilisé pour le stockage Conception solide : longue durée de vie Points de fixation pour une fixation sécurisée dans le véhicule Pieds de palette pour un chargement et un déchargement simples et sécurisés avec un chariot élévateur Accessoires personnalisés : roulettes de transport, ensemble de batteries, enregistreur de données, application pour smartphone Dimensions : L 1333.30 x P 847.50 x H 782 mm Poids : 150 kg Dimensions du ",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_4dbc9862-3a7d-42f7-b179-b2aaef4d5a81.png?v=1771518418,Dometic,Default,Non classé
conteneur-de-refrigeration-a-ouverture-par-le-haut-300-l-dometic-tl300,"Conteneur de réfrigération à ouverture par le haut, 300 l Dometic TL300",Dometic,5175.0,6210.0,1035.0,17.0,"Fiche technique Capacité de 300 l de stockage pour les aliments réfrigérés ou congelés Deux températures fixes préréglées en usine : +4 °C ou –18 °C Ouverture par le haut : perte de froid minimale lors de l’ouverture de la porte Conception solide : longue durée de vie Points de fixation pour une fixation sécurisée dans le véhicule Pieds de palette pour un chargement et un déchargement simples et sécurisés avec un chariot élévateur Accessoires personnalisés : roulettes de transport, ensemble de batteries, enregistreur de données, application pour smartphone Tension d'entrée (AC) 230 V Tension d",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_8_ba920361-1a83-4e39-b5a9-7509b28a89de.png?v=1771090961,Dometic,Glacière,Non classé
conteneur-de-refrigeration-a-ouverture-par-le-haut-178-l-dometic-tl200,"Conteneur de réfrigération à ouverture par le haut, 178 l Dometic TL200",Dometic,4865.0,5837.0,972.0,17.0,"Fiche technique Capacité de 178 l de stockage pour les aliments réfrigérés ou congelés Deux températures fixes préréglées en usine : +4 °C ou –18 °C Ouverture par le haut : perte de froid minimale lors de l’ouverture de la porte Conception solide : longue durée de vie Points de fixation pour une fixation sécurisée dans le véhicule Pieds de palette pour un chargement et un déchargement simples et sécurisés avec un chariot élévateur Accessoires personnalisés : roulettes de transport, ensemble de batteries, enregistreur de données, application pour smartphone Technique de froid : Compressor Dimen",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Conteneurderefrigerationaouvertureparlehaut_178lDometicTL200.png?v=1771518533,Dometic,Glacière,Non classé
hotte-plafond-inox-neff-i90cl46n0,Hotte Plafond Inox N70 Neff I90CL46N0,NEFF,1100.0,2055.0,955.0,46.0,"Hotte plafond inox NEFF I90CL46N0 Possibilité d’acheter pièces détachées : Oui https://shop.euras.com/anfrage.php?g7=2845040N Hotte aspirante à recyclage Hotte de plafond 2 filtres métalliques lavables au lave-vaisselle, 1 filtre à charbon Débit d'air maximum : 850 m3/h en recyclage Niveau sonore maximum : 70 dB(A Type de hotte : Hotte conçue pour être fixée directement au plafond de la cuisine Circulation de l'air : La circulation de l'air aspiré s'effectue par recyclage Pose / Installation : La pose de la hotte s'effectue par accroche au plafond Informations sur les filtres : L'appareil disp",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/HottePlafondInoxN70NeffI90CL46N0.png?v=1771679292,NEFF,Hotte,Non classé
saladette-desserte-refrigeree-6-tiroirs-gn-1-1-casselin-csa6t,SALADETTE - DESSERTE RÉFRIGÉRÉE 6 TIROIRS GN 1/1 CASSELIN CSA6T,Casselin,2779.0,3718.0,939.0,25.0,SALADETTE - DESSERTE RÉFRIGÉRÉE 6 TIROIRS GN 1/1 CASSELIN CSA6T Fiche technique : Acier inoxydable Froid statique Dégivrage automatique par cycle de compresseur Thermostat digital Encadrement anti-condensation Verrouillage porte par clé 6 tiroirs pour GN 1/1 (bac non inclus) Température réglable de +0°C à +8°C Capacité net : 149 L Capacité commerciale : 342 L Fluide réfrigérant : R 290 Puissance : 230 W / 230 V Dimensions : L 1 365 x P 700 x H 880 mm Poids : 112 Kg Notice,https://cdn.shopify.com/s/files/1/0982/1428/1557/files/CRCDEC90_123.png?v=1776245945,,Accessoire,Non classé
hotte-plan-de-travail-telescopique-90-cm-en-verre-blanc-inox-airlux-ahv980bk,Hotte Plan De Travail Télescopique 90 Cm en Verre blanc/inox Airlux  AHV980WH,Airlux,1369.0,2279.0,910.0,40.0,Hotte Plan De Travail Télescopique 90 Cm en Verre blanc/inox Airlux AHV980WH : Performances : Évacuation ou recyclage Aspiration périmétrique Débit maximum d'aspiration (norme EN61591/1) : en sortie libre : 795 m³/h en évacuation : 705 m³/h Pression : 565 Pa Niveau sonore à la vitesse min./max./int. u (norme EN60704-2-13) : 46/61/65 dB(A) 1 moteur double turbine 260 W Confort d'utilisation : Commandes électroniques sensitives 3 vitesses d'aspiration + 1 intensive Fonction Timer : diffère l'arrêt de la hotte de 5 minutes Fonction Booster : accroît à son maximum le débit de la hotte pendant 5 mi,https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_16_6bb5a60f-d3cd-4f9d-9051-a757616ec920.png?v=1771682194,Airlux,Hotte,Non classé
conteneur-refrigere-autonome-c-box-460-l-12v-230v-battery-mode-indel-b-10101198,Conteneur réfrigéré autonome – C-Box 460 L – 12V / 230V + Battery Mode Indel B 10101198,Indel B,5712.0,6529.0,817.0,13.0,Conteneur réfrigéré autonome – C-Box 460 L – 12V / 230V + Battery Mode Indel B 10101198 La C-Box 460L avec mode batterie intégré est un conteneur réfrigéré professionnel de très grande capacité (460 litres) conçu pour garantir la chaîne du froid en totale autonomie. Caractéristiques techniques : Type : Conteneur frigorifique mobile autonome Volume net : 460 L Alimentation : 12 V DC / 230 V AC / Batterie intégrée Puissance nominale : 200 W Consommation (24h) : Non communiquée Température réglable : de 0°C à +12°C Dimensions (H x L x P) : 980 x 900 x 1150 mm Poids : 105 kg,https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_3cbaf5c4-d7d1-4067-81ef-ab0a545a7782.png?v=1770742804,Indel B,Glacière,Non classé
four-multifonction-pyrolyse-inox-siemens-vb578d0s0,Four Multifonction Pyrolyse Inox SIEMENS VB578D0S0,Siemens,2173.0,2964.64,791.64,27.0,"Four Multifonction Pyrolyse Inox Siemens VB578D0S0 Possibilité d'acheter en pièce détachée : https://shop.euras.com/default.php? g7=2845040N Nettoyage : Nettoyage Pyrolyse Design : Ecran LCD lightControl : bouton rétroéclairé Type de four/Modes de cuisson Volume 112 l Four avec 10 modes de cuisson: Hot Air Standard, convection naturelle, air pulsé 2D, gril air pulsé, gril grande surface, gril petite surface, position pizza, chaleur de voûte et de sole, décongélation, cuisson douce Confort/Sécurité Porte abattante ClipRails télescopiques 1 niveau Verrou de porte électronique Sécurité enfants Co",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/FourMultifonctionPyrolyseInoxSIEMENSVB578D0S0_fb3c1af6-bc5f-4f8a-a930-5afeb27dbf74.png?v=1767372878,Siemens,Four,Non classé
bar-exterieur-mobile-dometic-mobar-300-s,"Bar extérieur mobile, Dometic MoBar 300 S",Dometic,3936.0,4723.0,787.0,17.0,"Fiche technique : Dimension : H 980 x L 717 x P 622 mm Puissance : 220–240 V, 85 W Poids net : 68 kg Coloris : acier et noir Capacité du cellier : 19 bouteilles de bordeaux, 75 cl",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Barexterieurmobile_DometicMoBar300S.png?v=1770390914,,Accessoire,Maison et jardin > Arts de la table et arts culinaires > Accessoires de bar > Porte-bouteilles de vin
table-refrigeree-positive-gn-1-1-3-portes-prof-700-mm-trg3psd,TABLE REFRIGERÉE POSITIVE GN 1/1 - 3 PORTES - SANS DOSSERET TRG3PSD,NESRI DISCOUNT,2336.0,3115.0,779.0,25.0,TABLE REFRIGERÉE POSITIVE GN 1/1 - 3 PORTES - SANS DOSSERET TRG3PSD CARROSSERIE INTÉRIEURE ET EXTÉRIEURE (SAUF DESSOUS EXTÉRIEUR) EN ACIER INOXYDABLE GROUPE LOGÉ TROPICALISÉ ÉVAPORATEUR TRAITÉ ANTI-CORROSION DE SÉRIE GRILLE DE PROTECTION DU MOTEUR AVEC SERRURE À CLÉS POUR OPTIMISER LES OPÉRATIONS DE NETTOYAGE MANUTENTION. Compartiment moteur avec fermeture à clé Angles intérieurs arrondis Panneau de commande électronique frontal Pieds en acier inoxydable réglables en hauteur Fiche Technique Carrosserie intérieure et extérieure (sauf dessous extérieur) en Acier Inoxydable Isolation par mousse d,https://cdn.shopify.com/s/files/1/0982/1428/1557/files/TABLEREFRIGEREEPOSITIVEGN11-3PORTES-AVECDOSSERETTRG3P.png?v=1767976304,,Cuisson professionnelle,Non classé
serie-6-refrigerateur-multi-portes-congelateur-en-bas-183-x-90-5-cm-acier-brosse-anti-traces-bosch-kfd96apea,"Série 6, Réfrigérateur multi-portes congélateur en bas, 183 x 90.5 cm, Acier brossé anti-traces BOSCH KFD96APEA",Bosch,2116.0,2880.2,764.2,27.0,"Série 6, Réfrigérateur multi-portes congélateur en bas, 183 x 90.5 cm, Acier brossé anti-traces BOSCH KFD96APEA INFORMATIONS GENERALES Volume total : 574 l Réfrigérateur : Volume 375 l Congélateur : Volume 199 l Classe d'efficacité énergétique E sur une échelle allant de A à G Consommation énergétique : 327 kWh/an Niveau sonore : 39 DB, classe d'efficacité sonore : C Confort et sécurité NoFrost MultiAirflow NoFrost Home Connect Home Connect : contrôle et diagnostic à distance Régulation électronique avec affichage digital de la température Chaque zone de température contrôlable et réglable sép",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_1_e9c5e679-fade-462c-9b2e-cc6a2407a343.png?v=1769790527,Bosch,Réfrigérateur,Non classé
four-multifonction-fullsteam-hide-neff-b48ft78n0,Four Multifonction FullSteam Hide NEFF B48FT78N0,NEFF,1430.0,2190.0,760.0,35.0,"Four Multifonction FullSteam Hide NEFF B48FT78N0 Type de four et Modes de cuisson : EcoCleanPlus : 4 parois Nettoyage EcoClean, BaseClean : pour un four toujours propre Design : Grand écran tactile TFT 5,7"" en couleur avec texte claire et commandes TouchControl Porte escamotable Slide Hide® , amortie Cavité intérieure en noir diamant Intérieur de porte plein verre Type de four/Modes de cuisson : Volume 71 litres et 4 niveaux de cuisson 13 modes de cuisson : fonction maintien chaud, préchauffage, fournil : idéal pour cuire le pain, gril grande surface, Circotherm® Eco, Circotherm® , gril ventil",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/FourMultifonctionFullSteamHideNEFFB48FT78N0.png?v=1772288316,NEFF,Four,Non classé
hotte-decorative-ilot-58cm-airlux-ahl54bk,Hotte décorative îlot 58cm AIRLUX AHL54BK,Airlux,1089.0,1810.0,721.0,40.0,Hotte décorative îlot diamètre 58cm AIRLUX AHL54BK Matériaux : Verre noir et Inox Modes de fonctionnement : Recyclage Son aspiration est périmétrique Equipements et fonctionnalités : Commandes électronique 4 vitesses d’aspiration Timer avec temporisation de l’arrêt 1 filtre à graisse métallique lavable en lave-vaisselle 1 filtre anti-odeurs à charbon actif livréde série Indicateur de saturation des filtres Caractéristiques techniques : 1 moteur à double turbine de 90 W Débit : 340 m3 par heure calculé selon la norme EN61591 /1 Puissance électrique d’installation : 150 W Eclairage par 3 halogèn,https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_32_12a34ac5-800f-4871-aa92-6f0cbc78f668.png?v=1771588984,Airlux,Hotte,Non classé
table-de-cuisson-induction-grande-largeur-90cm-neff-t59ts51n0,Table de cuisson Induction grande largeur 90cm NEFF T59TS51N0,NEFF,1282.0,2000.0,718.0,36.0,"Table de cuisson Induction grande largeur 90cm NEFF T59TS51N0 Design : Profil inox TwistPad® Fire Puissance : Zones de cuisson : 1 x 380 mm x 230 mm, 3.3 kW (PowerBoost 3.7 kW) ou 2 x Ø 230 mm, 2.2 kW (PowerBoost 3.7 kW); 1 x Ø 210 mm, 2.6 kW (PowerBoost 3.7 kW);1 x 380 mm x 230 mm, 3.3 kW (PowerBoost 3.7 kW) ou 2 x Ø 190 mm, 2.2 kW (PowerBoost 3.7 kW) 1 triple zone de cuisson, 2 zones FlexInduction Confort/Sécurité : FryingSensor avec réglage de 5 températures PowerMove+ PowerBoost sur chaque foyer PanBoost : Booster spécial pour les poêles 17 positions de réglage Affichage digital de la posi",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Designsanstitre_6_ff552710-06f6-4bc6-a115-6a0219e0f294.png?v=1771581233,NEFF,Plaque de cuisson,Non classé
hotte-de-plafond-120-x-50-cm-en-inox-airlux,Hotte De Plafond 120 x 50 Cm En Inox Airlux  AHPL128IX,Airlux,1085.0,1800.0,715.0,40.0,"Hotte De Plafond 120 x 50 Cm En Inox Airlux Performances : Évacuation ou recyclage 1 moteur double turbine 275 W Niveau sonore à la vitesse min./max./int. (norme EN60704-2-13) : 54/68/71 dB(A) Pression à la vitesse maximale : 440 Pa Débit maximum d'aspiration (norme EN61591/1) : en sortie libre : 795 m³/h en évacuation : 740 m³/h Aspiration périmétrique Confort d'utilisation : Télécommande, livrée de série Commandes électroniques 3 vitesses d'aspiration + 1 intensive Fonction Timer : diffère l'arrêt de la hotte de 30 minutes Fonction Booster : accroît à son maximum, le débit de la hotte pendan",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/HotteDePlafond120x50CmEnInoxAirluxAHPL128IX.png?v=1771585408,Airlux,Hotte,Non classé
refrgerateur-49-l-drawer-cruise-49,"Réfrigérateur 49 L, Drawer Cruise 49",NESRI DISCOUNT,558.0,1252.0,694.0,55.0,"Réfrigérateur 49 L, Drawer Cruise 49 Fiche technique : Dimension : H 52 x L 52,5 x P 38 cm Puissance : 40 W Tension (DC) : 12/24 V Consommation : 0,306 kWh/24h Ouverture coulissante Eclairage intérieur",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Refrigerateur49L_DrawerCruise49_54bcc36d-1b8e-4bc0-b0c4-0095c460ab42.png?v=1767458483,,Réfrigérateur,Non classé
